,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3500,-1322,-409,-239,-187,-118
1,11.007879998942371,11,3437,-1228,-428,-260,-164,-120
2,20.018782000988722,9,3374,-1139,-418,-284,-164,-104
3,29.22268200200051,9,3297,-788,-399,-321,-170,-90
4,38.240583999140654,9,3297,-919,-361,-347,-167,-60
5,47.744479998073075,9,3312,-847,-362,-336,-180,0
6,56.81438199826516,9,3304,-789,-317,-313,-183,33
7,66.00928099942394,9,3269,-818,-210,-298,-190,82
8,75.3071799990721,9,3302,-790,-154,-268,-216,129
9,84.53308000025572,9,3356,-844,-99,-258,-262,207
10,93.78197899786755,9,3409,-895,-49,-259,-295,234
11,102.99187900091056,9,3496,-953,36,-253,-314,218
12,112.19677900226088,9,3641,-919,243,-268,-316,204
13,121.4876779995393,9,3979,-521,704,-298,-330,220
14,130.64557799953036,9,4401,-336,755,-335,-369,316
15,139.9174780017347,9,5233,425,1069,-318,-425,538
16,149.10137800325174,9,6038,1098,1757,-126,-624,973
17,158.2512780005345,9,6737,1771,1719,28,-839,1358
18,167.51817700424,9,7712,2366,1748,887,-882,1712
19,177.174071999616,9,8839,2854,1874,1341,-690,1952
20,185.99697599711362,8,10630,3972,1736,2023,-393,2323
21,194.8858800024027,8,12489,4766,807,2654,-169,2674
22,203.72478300123475,8,14063,5192,163,3253,48,2893
23,212.7176860012696,8,14997,5390,-508,3725,674,3128
24,221.5575890004402,8,15205,6039,-1382,4125,787,3194
25,230.12749599729432,8,15274,6548,-2846,4228,842,3235
26,239.0503990027355,8,15237,7399,-4335,4410,782,3226
27,247.85430300107691,8,14852,8585,-5379,5077,846,3121
28,256.7682060034713,8,13892,9651,-7031,5794,1668,3446
29,265.65311000013025,8,12399,11216,-7110,6706,2645,4403
30,274.44601400202373,8,9590,11649,-5277,7795,3413,5140
31,283.66391400049906,9,4360,11024,-2323,9126,3986,6052
32,292.57281700120075,8,-360,8964,1039,9612,4145,6323
33,301.44671999732964,8,-5488,6649,4239,9787,3709,6073
34,310.3476239994052,8,-10913,4942,5002,9735,2912,5237
35,319.3125260004308,8,-14958,4355,4427,9983,2146,4479
36,328.16543000080856,8,-18669,5584,2903,10343,2243,4011
37,337.1203319984488,8,-24033,7785,3356,11033,4146,4440
38,345.9222370001953,8,-29286,9779,7081,12147,6543,5221
39,354.9101390017313,8,-31461,10337,14754,13760,8251,5750
40,363.67004299972905,8,-30180,8352,26148,13848,9404,6119
41,372.4229479994392,8,-28714,1896,32764,11823,9704,4979
42,381.3258509981097,8,-20426,-7738,32764,4477,7347,4212
43,390.1657550013624,8,-9936,-15368,25166,-3928,-2674,1705
44,399.1306579991942,8,-10607,-15163,10302,-10064,-9342,-1785
45,407.94856200227514,8,-12713,-5084,-2870,-13831,-10960,-3454
46,416.85546500229975,8,-10867,5882,-4962,-13846,-6582,-2524
47,425.6763689991203,8,-8274,15343,-5154,-11149,-1051,-1362
48,434.5152730020345,8,-4798,11987,-5535,-5363,379,-793
49,443.4811750033987,8,-4260,8374,-1921,-870,988,-1227
50,452.2820799975307,8,-5783,4738,1756,809,1169,-1684
51,461.01498499774607,8,-7123,1246,4738,-664,1086,-2479
52,469.82888899947284,8,-8461,-1944,6627,-3435,727,-3267
53,478.5887929974706,8,-9701,-2599,7112,-6718,412,-3844
54,487.3786980024306,8,-10420,-2480,5691,-9624,679,-3908
55,496.2526009985595,8,-11083,-1252,4184,-12371,1074,-3630
56,505.0445060041966,8,-10968,-1160,2097,-13074,1504,-3558
57,513.9444090018515,8,-10432,-2008,382,-12495,1869,-3873
58,522.8093120022095,8,-9295,-2361,-947,-11122,2376,-4775
59,531.6002170002321,8,-7694,-2124,-1324,-9515,2654,-5339
60,540.5691190026118,8,-5129,-1409,-1489,-7971,2752,-5650
61,549.4160230009584,8,-3177,-353,-1192,-7294,2648,-5845
62,558.3249260016601,8,-895,-113,-650,-6711,2431,-5950
