,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,4070,-326,190,46,-107,187
1,11.078880001150537,11,4048,-420,179,26,-100,179
2,20.347778998257127,9,4044,-514,156,-250,-104,153
3,29.549677994509693,9,4024,-567,138,-33,-112,130
4,38.53557999536861,8,4022,-627,103,-55,-110,103
5,47.97247799433535,9,3999,-613,80,-64,-114,75
6,57.22937699465547,9,3962,-618,54,-60,-123,60
7,66.42927599750692,9,3943,-608,22,-50,-124,42
8,75.66217600106029,9,3872,-587,-12,-16,-123,24
9,84.8710749996826,9,3834,-581,-22,10,-121,19
10,94.11597500002244,9,3787,-560,-22,20,-114,17
11,103.36887399898842,9,3764,-531,17,7,-104,10
12,112.48877400066704,9,3788,-453,80,-16,-119,-16
13,122.60266399971442,10,3849,-312,96,-68,-184,-17
14,131.5395669953432,8,3910,-173,74,-109,-232,4
15,140.4464699953678,8,3965,34,46,-119,-282,9
16,149.32837300148094,8,4067,356,5,-103,-322,18
17,158.2672750009806,8,4256,804,54,-53,-313,114
18,167.20017799525522,8,4649,1406,333,-30,-287,389
19,176.06108100153506,8,5157,2533,628,101,-295,820
20,185.06498300121166,9,5415,3064,1260,210,-281,1319
21,193.91288699989673,8,5728,3722,1567,395,-213,1837
22,202.79678999941098,8,6200,4542,1753,974,-208,2236
23,211.5306949999649,8,7071,5838,1891,1354,-213,2730
24,220.20659999543568,8,8023,6566,1724,1748,-82,3490
25,228.99750399665209,8,8732,6835,1106,2123,55,4049
26,237.90240699599963,8,9284,6801,796,2382,420,4366
27,246.69431099755457,8,9179,6100,338,2501,768,4613
28,255.6042139985948,8,9663,5928,-264,2772,953,4951
29,264.4141179989674,8,10029,6193,-1038,2908,1204,5593
30,273.24802200018894,8,10741,6250,-2024,3161,1415,5557
31,282.13692500139587,8,11018,6655,-2789,3457,1661,5466
32,290.95882899855496,8,11741,6966,-2893,4255,2051,5372
33,299.76173299655784,8,11220,7065,-2023,5076,2624,5417
34,308.54763699608156,8,9604,7228,-780,6084,3008,5896
35,317.88153600064106,9,7464,7534,380,6460,3172,6598
36,326.71543899778044,8,4643,7328,1462,6780,3247,7546
37,335.4813439946156,8,1402,6819,1959,6934,3052,7817
38,344.40724599699024,8,-1586,5820,2371,6967,2791,7704
39,353.18815099890344,8,-3843,4643,1796,7000,1960,7050
40,362.07105399807915,8,-7805,1825,1251,7896,1520,5447
41,370.9159569989424,8,-10716,904,1101,7692,2001,3888
42,379.69786200119415,8,-13973,2028,1316,6545,2467,4322
43,388.5057660008897,8,-19229,3408,558,6002,2766,4960
44,397.2956699944916,8,-22621,3393,2094,7234,3775,5333
45,406.18457299569855,8,-23549,3887,5717,8928,4760,5781
46,415.1774749989272,8,-23444,5126,10556,11171,5036,6207
47,424.03937799826963,8,-20630,4964,16877,13047,5441,6224
48,432.96528099745046,8,-17893,1381,22628,11606,5593,5827
49,441.8481839966262,8,-13153,-3111,24852,7764,4121,4606
50,450.75408699631225,8,-6443,-6539,22287,157,1056,2328
51,459.7149900000659,8,-3880,-7703,14653,-6818,-3647,-272
52,468.55389299889794,8,-4311,-3985,4827,-10790,-6225,-2331
53,477.41879699606216,8,-6004,2602,-4227,-11584,-5962,-3018
54,486.3426989977597,8,-5912,7913,-7178,-8735,-3329,-1514
55,495.1776029993198,8,-5062,8058,-7755,-4131,-739,-351
56,504.0905060013756,8,-5479,3555,-5134,167,980,-291
57,513.017409000895,8,-6621,-940,830,2257,1902,-1359
58,521.8923119973624,8,-8532,-4641,6203,2141,2522,-3084
59,530.8662140014349,8,-9688,-8414,9465,334,1743,-4688
60,539.7311169945169,8,-11016,-8223,10777,-2073,-529,-6062
61,548.5590210009832,8,-13275,-6800,9398,-4747,-2501,-6287
62,557.469923995086,8,-15242,-3895,6717,-7382,-3799,-6446
63,566.4038269969751,8,-15773,-812,4526,-8103,-4332,-6461
64,575.3607289952924,8,-14587,457,2804,-8291,-3865,-5918
65,584.291631996166,8,-12461,1851,1912,-8018,-3093,-5549
66,593.143534999399,8,-8294,2545,1320,-7107,-2649,-5250
67,602.0874379973975,8,-5886,2495,976,-6482,-2245,-5287
68,610.9593410001253,8,-4192,1677,1232,-5988,-1603,-5409
69,619.7952449947479,8,-2801,1103,1769,-5964,-1055,-5491
70,628.6051489951205,8,-523,766,2267,-6585,-520,-5475
71,637.411053001415,8,997,870,2183,-7066,-231,-5440
72,646.2079569973866,8,3163,917,1560,-7710,-429,-5264
73,655.1188599987654,8,5112,1316,340,-8117,-897,-5054
74,663.9017639972735,8,6784,2414,-250,-8148,-934,-5144
75,672.8716659999918,8,7932,3020,-700,-7854,-614,-5134
76,681.6605700005312,8,9200,3523,-427,-7302,-214,-5060
77,690.4484749975381,8,9665,4578,868,-6548,583,-5089
