,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3203,-1868,560,376,19,-229
1,10.208804000285454,10,3174,-1838,573,391,7,-205
2,19.192631999430887,8,3119,-1794,584,397,8,-190
3,28.30445699964912,9,3069,-1749,625,406,-4,-165
4,37.41528299997299,9,3053,-1682,642,422,-17,-143
5,46.414110000114306,8,3035,-1672,653,427,-48,-116
6,55.51093600024615,9,3250,-1861,799,413,-75,-107
7,64.61276200025168,9,2838,-1636,736,377,-83,-140
8,73.74758700007078,9,3213,-1593,695,348,-140,16
9,82.96740999958274,9,3322,-1453,734,283,-148,20
10,92.05823599950236,9,3130,-1599,734,265,-137,42
11,101.11706199950277,9,3065,-1554,801,213,-175,30
12,110.82687599991914,9,3060,-1527,803,162,-193,18
13,119.60370799988596,8,3085,-1539,820,118,-277,9
14,128.4675380002227,8,3145,-1514,783,75,-339,15
15,139.08233500023925,10,3173,-1489,696,47,-391,23
16,147.88216600027226,8,3174,-1494,633,13,-416,54
17,156.6649979995418,8,3199,-1472,550,-46,-427,96
18,165.35483099960402,8,3231,-1457,476,-93,-425,133
19,173.98866599978646,8,3297,-1468,401,-135,-419,139
20,182.69949899968196,8,3311,-1493,332,-166,-423,136
21,191.41833199955727,8,3393,-1436,305,-186,-436,141
22,200.21416300005512,8,3524,-1435,273,-212,-448,152
23,208.94199600024876,8,3599,-1429,265,-226,-456,164
24,217.64782900027058,8,3701,-1442,265,-263,-465,180
25,226.8596530002469,9,3750,-1507,162,-342,-458,194
26,235.8054810001704,8,3792,-1544,157,-399,-441,207
27,244.53631399956066,8,3857,-1558,274,-507,-390,214
28,253.3061459998862,8,3883,-1542,382,-685,-328,261
29,262.0869779993882,8,3955,-1495,348,-886,-310,323
30,270.92280800025037,8,4022,-1446,252,-1039,-311,376
31,279.66264099995897,8,4038,-1447,135,-1088,-307,423
32,288.49147199980507,8,4075,-1783,6,-994,-305,450
33,297.2783029999846,8,4034,-1636,-9,-786,-341,476
34,306.02013599946076,8,3949,-1803,-44,-526,-401,500
35,314.7299689999272,8,3590,-2017,12,-13,-460,491
36,323.549799999455,8,3706,-2511,184,-49,-766,476
37,332.29163299984066,8,3604,-2447,330,-72,-519,456
38,340.9954660000949,8,3498,-2648,439,-255,-468,451
39,349.6733000001768,8,3381,-2706,440,-608,-440,449
40,358.53412999949796,8,3075,-2779,329,-1229,-406,471
41,367.2939629996108,8,3240,-2659,105,-1304,-334,494
42,376.06879499981005,8,3129,-2458,-135,-1567,-10,464
43,384.80862699998397,8,3191,-2000,-341,-1667,-217,404
44,393.5524600001372,8,3380,-1522,-756,-1688,-211,398
45,402.3592909998115,8,3605,-1093,-667,-1636,-224,465
46,411.0681249994741,8,3954,-704,-651,-1474,-193,563
47,419.846957000118,8,4799,-376,-487,-1223,-73,770
48,428.70378699990397,8,5449,43,-358,-1028,-14,1123
49,437.472618999891,8,5971,436,-275,-752,-73,1637
50,446.19545200021093,8,6510,921,-436,-76,-174,1984
51,454.81228700009524,8,7368,1307,-883,276,-284,2260
52,463.601118999577,8,7745,1998,-1078,1665,-397,2481
53,472.3639510002613,8,8734,2215,-627,2963,-348,2597
54,481.0987840000962,8,9921,2469,247,4027,-145,3053
55,490.0056139995286,8,10769,2459,884,5021,82,3269
56,498.7324469993837,8,11930,2237,1166,5029,425,3748
57,507.4802789995374,8,12292,1417,475,4953,1023,4253
58,516.2691109999287,8,12066,534,-637,4931,1020,4611
59,525.1369409998006,8,11956,-81,-1659,5112,1124,4584
60,533.9677719994143,8,11887,-524,-1711,5392,1230,4215
61,542.6926049995018,8,11573,-850,-1030,5733,1026,3855
62,551.5544359996056,8,11301,-1268,250,5870,1192,3329
63,560.2722690000519,8,11001,-607,1393,5859,707,2796
64,569.0371009995943,8,10220,1063,1494,5735,10,2245
