,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3530,-657,912,535,134,-71
1,10.287923000305454,10,3628,-718,944,576,135,-3
2,19.49885500016535,9,3629,-794,966,580,146,28
3,28.692786000192427,9,3629,-889,969,535,117,48
4,37.55172000001039,8,3620,-928,897,449,90,39
5,47.15364800040334,9,3580,-930,809,396,59,16
6,56.95057499997347,9,3611,-873,749,339,65,8
7,66.08250700037388,9,3614,-786,998,320,96,15
8,75.30143900021358,9,3646,-713,781,323,115,31
9,84.46937000007892,9,3679,-668,800,357,119,72
10,93.54930200015588,9,3674,-627,865,381,120,120
11,102.54723500020191,8,3686,-595,918,396,117,153
12,112.3671620002824,9,3666,-681,923,406,99,177
13,121.17309600034787,8,3568,-751,1012,404,86,165
14,130.06902999995873,8,3500,-796,1112,376,79,145
15,138.8079650000691,8,3502,-801,1185,352,46,121
16,147.61689900024066,8,3530,-733,1268,300,13,104
17,156.46583300031125,8,3534,-692,1300,252,-22,122
18,165.24076800033072,8,3514,-680,1293,222,-68,160
19,173.94970300028945,8,3433,-676,1253,200,-122,213
20,182.70663700013756,8,3363,-698,1206,203,-185,270
21,191.48357200037935,8,3277,-782,1171,206,-230,302
22,200.25050699996427,8,3243,-808,1166,212,-277,314
23,208.92044200036253,8,3236,-829,1151,215,-327,323
24,217.62637700021514,8,3222,-926,1148,187,-385,352
25,226.47231100017962,8,3187,-1026,1155,148,-437,385
26,235.21924600026978,8,3125,-1172,1178,69,-497,408
27,244.04818000039086,8,3141,-1238,1206,-41,-546,439
28,252.87811400039573,8,3163,-1248,1168,-195,-609,479
29,261.5540490000967,8,3173,-1235,1018,-354,-692,552
30,270.1809850000245,8,3147,-1245,845,-551,-784,640
31,278.9419200003067,8,3015,-1270,680,-687,-844,724
32,287.45385599995643,8,2857,-1315,587,-815,-886,787
33,296.271790999981,8,2763,-1304,443,-943,-909,810
34,305.1307240002643,8,2715,-1309,291,-1027,-960,792
35,314.0116580002541,8,2825,-1318,153,-1050,-1005,766
36,322.86759199996595,8,3041,-1209,-248,-1093,-997,720
