,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3985,-16,213,-340,-580,10
1,10.39188599679619,10,4176,436,312,-220,-579,63
2,20.51277599821333,10,4792,662,636,-57,-527,237
3,29.782674995658454,9,5229,1364,1081,191,-463,543
4,38.98657499667024,9,5912,1945,1888,565,-396,1012
5,48.11547500139568,9,6469,2033,2534,1118,-27,1342
6,57.368374000361655,9,6941,1866,2945,1573,-202,1635
7,66.62627300102031,9,7613,1849,3139,1877,-359,1820
8,76.01817099930486,9,8186,2271,2563,1853,-802,1937
9,85.34806899842806,9,9198,2987,1668,1816,-1528,2113
10,94.59296800196171,9,9429,4293,280,1985,-1615,2540
11,103.64386999572162,9,9605,4678,-903,2524,-1328,2541
12,113.42476299614646,9,9986,5215,-2033,3026,-772,3056
13,122.32366600073874,8,10652,5466,-1958,3439,2,3141
14,131.17757000145502,8,13026,6153,-2179,3856,457,3603
15,140.00647299690172,8,14837,7412,-2809,4176,591,4015
16,148.96237599896267,8,15864,8074,-3381,4462,425,4212
17,157.82827899965923,8,15596,8520,-4469,4764,258,4315
18,166.69918200204847,8,13627,9023,-5696,5507,370,4445
19,175.53608599700965,8,11138,9797,-6239,6248,1146,4686
20,184.46298899652902,8,7567,10928,-5435,7439,1885,5564
21,193.31189199874643,8,3790,12477,-3905,8473,2980,6467
22,202.1257960004732,8,-1836,12890,-1681,8992,3963,7672
23,212.40668399696006,10,-10371,10238,-369,9567,4005,7389
24,221.19658799783792,8,-17980,3288,1657,10871,4455,5934
25,230.1444900003844,8,-21648,2879,4783,10576,5036,5236
26,239.61638699984178,9,-28281,5159,5051,10795,4644,5909
27,248.53528999665286,8,-32764,7422,6164,12729,5855,6017
28,257.42019299650565,8,-32764,7214,15352,15354,8515,5587
29,266.2030970022897,8,-32432,5564,32518,16376,10502,6135
30,274.8670029977802,8,-24464,382,32764,15692,10338,6043
31,283.63790699950187,8,-14039,-4986,32764,9910,7625,5399
32,292.58880999987014,8,-5761,-10091,24469,191,203,2875
33,301.3577140009147,8,-4347,-11173,1402,-7995,-8236,-379
34,310.09861899656244,8,-4495,-8244,-12633,-9700,-12350,-1738
