,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3828,-1212,-868,-660,-805,71
1,9.809892995690461,9,3605,-1232,-1244,-801,-833,-26
2,18.946793999930378,9,3576,-1163,-1239,-1038,-852,-111
3,29.166683001676574,10,3607,-993,-1422,-1506,-870,-191
4,38.34658300183946,9,3653,-880,-1540,-1525,-813,-213
5,47.63348199776374,9,4039,-631,-1624,-1684,-716,-206
6,56.61038399557583,8,4293,-446,-1567,-1732,-572,-170
7,66.1482809955487,9,4439,-336,-1473,-1643,-355,-84
8,75.39517999975942,9,4661,-349,-1341,-1451,-207,-48
9,84.61307999823475,9,4946,-304,-1182,-1261,-44,-98
10,93.80697999586118,9,5433,-233,-804,-791,135,-157
11,102.95888099790318,9,6118,-150,-425,-922,261,-153
12,112.1677799965255,9,6856,187,-124,-534,361,-155
13,121.37167999753729,9,7927,397,206,-676,467,-103
14,130.57557999854907,9,8532,681,403,-604,496,47
15,140.54547200066736,9,9777,1778,564,-518,383,295
16,149.22237800055882,8,10468,2728,477,-427,82,612
17,158.01928199653048,8,10531,3103,341,-290,-99,1078
18,167.0401840019622,9,10833,3432,945,-153,-61,1500
19,175.92208700079937,8,11425,4398,-798,-15,43,1910
20,184.84999000065727,8,12225,5614,-2095,335,123,2391
21,193.67789399984758,8,12802,6664,-3764,1159,138,3033
22,202.57579699682537,8,13144,7571,-4946,2622,425,3482
23,211.4916999998968,8,13592,8745,-5670,4264,1369,3981
24,220.31960499589331,8,12949,9677,-5516,5703,2075,4749
25,229.04050999932224,8,11611,10192,-4855,7079,2961,5179
26,237.90541299968027,8,9915,11242,-3685,8567,3328,6085
27,246.85931600106414,8,6734,11414,-2229,9298,3530,7108
28,255.70521999907214,8,3973,11154,-289,9679,3556,8263
29,264.67012200009776,8,395,10310,825,9768,3297,9031
30,273.5330259965849,8,-4222,9447,1784,9890,2769,9582
31,282.5549279950792,9,-7878,8962,2397,9823,2246,9543
32,291.37083199748304,8,-11086,7846,2502,10202,1447,8809
33,300.34873399563367,8,-15239,6904,2525,10812,1135,7568
34,309.16663899552077,8,-19747,6046,1833,11038,1458,6125
35,317.966542999784,8,-26560,8236,2263,12116,2364,4548
36,326.8824459955795,8,-32192,12290,6977,12883,4205,4614
37,335.66535000136355,8,-32764,15114,16610,14297,5777,6093
38,344.5462539966684,8,-32764,13084,28653,15895,7611,7142
39,353.3701580017805,8,-32764,4207,32764,14240,9389,6410
40,362.1430630009854,8,-23776,-10344,29661,9940,7612,4818
41,370.99096599558834,8,-6566,-19507,20850,1866,2029,1464
42,379.82486999680987,8,-7232,-19487,11443,-4832,-5288,-2987
43,388.5797749971971,8,-12214,-10528,4791,-11064,-10749,-6206
44,397.4026790019707,8,-16035,7023,1060,-17473,-9551,-5896
45,406.18958399863914,8,-12825,17354,-2204,-19714,-4070,-4601
46,415.01448799681384,8,-7314,17961,-1989,-14390,-827,-3310
47,423.89239100157283,8,-3954,13723,-3381,-3689,-1603,-2585
48,432.742295000935,8,-3593,8886,-2566,1616,-1091,-1955
49,441.601198996068,8,-5192,5484,-492,3096,-39,-1650
50,450.48910199693637,8,-6273,1933,3297,1998,536,-2295
51,459.3150059954496,8,-7197,-1756,4857,-1631,491,-3132
52,468.202908996318,8,-7839,-3576,5857,-5175,102,-3897
53,477.08781300025294,8,-8277,-2710,5520,-7621,-158,-4273
54,485.93471699859947,8,-8540,-716,3963,-9191,-142,-4519
55,494.82462000014493,8,-7786,713,2418,-10012,10,-4524
56,503.66852399747586,8,-6470,842,1336,-10008,732,-4388
57,512.6754259981681,9,-5191,-136,622,-9341,1177,-4602
58,521.5053299980354,8,-3967,-740,350,-8245,1404,-4673
59,530.449232996034,8,-2599,-1064,553,-7398,1474,-5079
60,539.2781369955628,8,-1910,-1580,725,-7035,1367,-5329
61,547.8940429966315,8,-760,-1923,886,-7190,1117,-5394
62,557.175941998139,9,220,-1980,536,-7745,808,-5273
63,566.1198449961375,8,1880,-1466,-498,-8418,233,-5059
64,574.9917479988653,8,3304,-340,-1688,-8040,-848,-4901
65,584.0446500005783,9,4507,1225,-2909,-7057,-1438,-5031
66,592.87155399943,8,5665,2631,-3158,-5724,-1306,-5366
67,601.8044570009806,8,6896,3011,-2389,-4905,-542,-5399
68,610.6993599969428,8,8001,2538,-1163,-4805,-211,-4757
69,619.5822640002007,8,9230,1981,165,-4959,287,-4005
70,628.5121659966535,8,10608,1186,791,-5025,300,-3329
71,637.316070999077,8,11202,613,1495,-4383,136,-3018
72,646.2269740004558,8,11613,-220,2342,-3594,-8,-3014
73,654.9138789996505,8,12031,-341,2963,-2937,-591,-3020
74,663.6887839995325,8,11698,326,3037,-2624,-1542,-3030
75,672.5536879966967,8,11350,1064,1742,-2580,-2334,-2906
76,681.4065910002682,8,10763,1586,144,-2467,-2710,-2517
77,690.2644949950627,8,10061,2052,-1480,-2198,-2453,-1687
78,699.1363990018726,8,9458,2571,-2901,-1792,-1698,-949
