,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3293,-3015,609,274,-182,477
1,10.150836999855528,10,3342,-3104,706,404,-190,456
2,19.06069300002855,8,3412,-3344,880,461,-210,419
3,28.282543999921472,9,3475,-3536,951,447,-243,392
4,37.39339700041455,9,3483,-3732,1016,379,-289,355
5,46.43725099958829,9,3491,-3814,988,279,-303,293
6,55.62110299979395,9,3538,-3780,972,185,-315,237
7,64.62195800031623,9,3529,-3714,905,124,-317,184
8,74.00080699972023,9,3513,-3649,836,85,-312,147
9,83.0956600002537,9,3458,-3572,808,58,-304,124
10,92.27151199957007,9,3422,-3480,736,55,-309,90
11,102.06335400016542,9,3309,-3348,668,86,-325,54
12,110.86721199990279,8,3250,-3246,595,132,-338,17
13,119.63707100039755,8,3203,-3117,575,170,-347,-6
14,128.56392699995922,8,3139,-2977,606,178,-352,-35
15,137.1707879998212,8,3076,-2581,679,126,-353,-48
16,146.65163500012568,9,3040,-2660,701,37,-356,-58
17,155.3234960001646,8,2982,-2504,651,-72,-385,-55
18,163.9733559995875,8,2926,-2066,548,-171,-451,-31
19,174.16819200025202,10,2884,-2098,479,-215,-508,-3
20,182.9540500002622,8,2800,-1925,386,-247,-553,31
21,191.71790899963526,8,2716,-1786,276,-241,-613,98
22,200.3137700003208,8,2645,-1640,150,-221,-704,178
23,209.08262899956753,8,2561,-1604,35,-193,-785,267
24,217.9074870000477,8,2453,-1605,-70,-191,-856,333
25,227.28033600014896,9,2311,-1595,-482,-220,-971,387
26,236.07919400001265,8,2246,-1596,-336,-256,-1066,423
27,244.87405200034118,8,2166,-1656,-375,-344,-1109,460
28,253.6109109996687,8,2144,-1696,-347,-525,-1117,500
29,262.3717699998451,8,2087,-1746,-334,-869,-1093,517
30,271.0836300002484,8,2113,-1732,-340,-1211,-1079,519
31,279.9114870003905,8,2123,-1666,-420,-1525,-1107,537
32,288.6223470004552,8,2169,-1581,-629,-1753,-1172,535
33,297.3062069995649,8,2212,-1463,-822,-1878,-1254,531
34,305.91506800010393,8,2236,-1346,-873,-1940,-1323,521
35,314.6059279997644,8,2323,-1247,-709,-2103,-1322,536
36,323.4367860004568,8,2324,-1264,-273,-2383,-1297,601
37,332.15864500016323,8,2313,-1288,-323,-2816,-1279,664
38,340.8935039997232,8,2243,-1276,-320,-3356,-1274,726
39,349.6043639997879,8,2145,-1082,-596,-4094,-1322,725
40,358.4592209999755,8,2061,-859,-938,-4131,-1418,653
41,367.02108299959946,8,2069,-616,-1263,-4140,-1489,276
42,375.8899399999791,8,2072,-431,-1574,-3987,-1603,413
43,384.6127999995588,8,2143,-316,-1751,-3756,-1709,289
44,393.4966560000248,8,2310,-466,-1494,-3663,-1699,285
45,402.2505149996505,8,2216,-653,-1518,-3883,-1664,328
46,410.99437400043826,8,2231,-619,-1765,-4070,-1658,23
47,419.9442299996008,8,2248,-482,-2312,-4062,-1726,135
48,428.67108900009043,8,2612,-486,-2756,-3945,-1728,-39
49,437.43194800026686,8,2992,-465,-3292,-3772,-1709,-164
50,446.24980600019626,8,3129,-344,-3810,-3405,-1740,-352
51,455.09066300019185,8,3816,-190,-3985,-3012,-1703,-748
52,463.8605219997771,8,4584,-278,-3586,-2734,-1574,-541
53,472.71337900019716,8,5736,-390,-3301,-2737,-1392,-440
54,481.4692379995904,8,6201,-422,-3378,-3126,-1233,-280
55,490.31209599979775,8,7125,-45,-3996,-3390,-1160,-163
56,499.0419550003935,8,8045,118,-4932,-3355,-992,-92
57,507.7288149996093,8,8992,649,-5893,-2679,-849,127
58,516.7716690002635,9,9786,1145,-6816,-1767,-744,538
59,525.6275259998802,8,10283,1322,-7346,-506,-599,1110
60,534.3713849997584,8,9787,824,-7620,581,-315,1987
61,543.1052450003335,8,9027,624,-7850,1492,-45,2158
62,551.8081039999743,8,8225,275,-7743,2463,274,2227
63,560.5989630003023,8,7426,83,-7583,3069,666,2073
64,569.3028220002816,8,7496,60,-7467,3627,1079,1909
65,578.0286819999674,8,7943,507,-7354,4486,1437,1801
66,586.7085420004514,8,8668,1206,-6675,5650,1730,1798
67,595.3804020000462,8,8871,1876,-5901,6950,1838,1884
68,604.1602599998441,8,8506,2080,-4814,8884,1935,1981
