,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,1600,-1472,496,-2613,-2599,1956
1,10.131924999768671,10,1456,-1527,-233,-2669,-3038,2001
2,19.165857999723812,9,1479,-1565,-873,-2633,-2931,2037
3,28.41078900019056,9,1406,-1795,-1523,-2530,-2980,2046
4,37.53372200026206,9,1424,-2283,-1983,-2367,-2980,2027
5,46.6146540002228,9,1415,-2406,-2424,-2188,-2993,1990
6,55.70358699969802,9,1477,-2659,-2862,-1938,-3001,1913
7,64.97351799953321,9,1627,-3320,-3165,-1585,-2961,1876
8,74.077450999539,9,1737,-3540,-3385,-1394,-2869,1791
9,83.2473829996161,9,2039,-4096,-3637,-1278,-2715,1687
10,92.4413149996326,9,1927,-4058,-3785,-1228,-2468,1569
11,101.43924800013338,8,2072,-4223,-4058,-1165,-2352,1394
12,111.12317599963717,9,2245,-4295,-4230,-1028,-2277,1255
13,119.8191109997424,8,2409,-4278,-4390,-894,-2168,1165
14,128.64004600032786,8,2643,-4319,-4581,-776,-2085,1117
15,137.33198200043262,8,2746,-4459,-4626,-624,-1926,1132
16,146.0659169997598,8,2789,-4611,-4423,-459,-1655,1118
17,154.77385200028948,8,2786,-5065,-4120,-313,-1370,1031
18,163.65778599993064,8,2848,-4505,-3569,-2,-1115,906
19,172.39872099980857,8,2716,-5054,-3401,-226,-1015,619
20,182.91364299966517,10,2731,-4859,-3572,-238,-937,390
21,191.68257799992716,8,2713,-4686,-3440,-176,-901,161
22,200.226515000395,8,2685,-4444,-3562,-53,-859,11
23,209.00545000040438,8,2616,-4185,-3677,75,-799,-69
24,217.80638499967608,8,2563,-3911,-3728,185,-717,-113
25,226.67731900037325,8,2426,-3695,-3629,228,-592,-132
26,235.4132540003775,8,2248,-3478,-3427,193,-443,-123
27,244.21118899954308,8,2034,-3081,-3299,108,-299,-141
28,253.03512299979047,8,1831,-2871,-3169,-51,-164,-205
29,261.85705799980497,8,1739,-2748,-3046,-191,-23,-254
30,270.5849929998294,8,1693,-2408,-2927,-331,17,-238
31,279.41892800026835,8,1679,-2136,-2962,-444,16,-181
32,288.235861999965,8,1467,-2025,-2987,-532,5,-152
33,296.99579699990863,8,1413,-1918,-3014,-556,19,-141
34,305.8307319997766,8,1444,-1810,-3041,-515,26,-95
35,314.60566700025083,8,1546,-1834,-2953,-515,36,28
36,323.31660199997714,8,1500,-1961,-2830,-601,75,139
37,332.12353700037056,8,1605,-2279,-2669,-798,138,228
38,340.8214720002434,8,1614,-2150,-2357,-1068,188,329
39,349.53740800028754,8,1671,-2263,-1819,-1447,283,437
40,358.23034300028667,8,1543,-2295,-2287,-1833,304,484
41,366.90727899986086,8,1513,-2296,-2359,-2067,240,408
42,375.7962130002852,8,1485,-2315,-2667,-2096,103,327
43,384.51114799954667,8,1553,-2295,-2954,-1890,-10,281
44,393.25308299976314,8,1582,-2426,-3115,-1717,-85,275
45,402.0030190004036,8,1615,-2609,-3261,-1553,-67,292
46,410.6879540004229,8,1669,-2776,-3393,-1469,-34,325
47,419.458888999543,8,1704,-2872,-3538,-1405,-18,330
48,428.1858240001384,8,1759,-3312,-3561,-1427,49,330
49,436.74576099965634,8,1866,-3290,-3543,-1577,173,320
50,445.5476960001761,8,2141,-3332,-3555,-1812,327,300
51,454.31563100009953,8,2575,-3246,-3681,-2069,410,306
52,463.0765660003817,8,2942,-3114,-4123,-2240,489,364
53,471.81150100004743,8,3387,-3045,-4559,-2248,589,430
54,480.5134360003649,8,3826,-3113,-5097,-2081,720,515
55,489.37337000006664,8,4185,-3223,-5637,-1829,931,588
56,498.1283059996713,8,4707,-3411,-6360,-1497,1150,677
57,506.84124100007466,8,5166,-3848,-6288,-1213,1451,851
58,515.7261750000544,8,5377,-4149,-6459,-1101,1842,923
59,524.551110000175,8,5611,-4173,-6878,-979,2490,859
60,533.2890449999468,8,5940,-3765,-7660,-622,2573,717
61,542.231978000018,8,6270,-3162,-8118,288,2734,633
62,550.9259139998903,8,6538,-2375,-8331,1412,2958,519
63,559.7188490000917,8,6875,-1285,-8078,2250,2985,540
64,568.3347849999336,8,7316,-975,-8233,3370,2957,789
65,577.0087210003112,8,7825,-644,-7838,4747,3044,1126
66,585.8346550003262,8,8000,-480,-6926,6294,3157,1441
67,594.5345910004107,8,7957,130,-5911,7716,3163,1612
68,603.2775260000562,8,7872,857,-5130,9013,2994,1490
69,612.0194610002727,8,8041,1784,-4461,9675,2376,1154
70,620.704396000292,8,8382,2757,-3575,10199,2141,636
71,629.5883310003774,8,8715,3532,-2192,10561,1802,311
72,638.3142659997247,8,9462,4683,-937,10854,1441,402
73,647.0332010003403,8,10454,5991,-74,11011,956,1086
74,655.85913599989,8,10805,8195,391,11296,-104,2148
75,664.6530699999857,8,9622,9441,1154,11432,-527,3290
76,673.4460050001871,8,8190,9369,1275,11065,-783,3478
77,682.2329400001763,8,6275,8806,76,10405,-853,3842
78,690.8908759996848,8,3176,9369,-1133,9511,-788,3906
79,699.5878110001286,8,405,9813,-1719,9368,-486,4028
80,708.2877470002131,8,-3045,10013,-2049,9081,-101,3705
81,717.0426820002831,8,-4421,8946,-151,9179,445,3724
82,725.8426170001258,8,-6513,8572,625,8544,1020,3614
83,734.5045519996347,8,-10515,9575,-336,8432,1208,3305
84,743.2394879997446,8,-13628,10879,-288,8954,1680,3084
85,751.8744239996522,8,-16776,12528,1089,9941,2696,3355
86,760.5423590002829,8,-19854,13058,3738,11081,3644,3744
87,769.4012940000903,8,-22046,12368,10980,12076,4800,3594
88,778.1022290000692,8,-21733,11038,20191,12223,5751,4095
89,786.8451639997147,8,-18158,7870,29294,9256,6080,4412
