,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3175,-330,6,-798,-718,-92
1,11.822870998003054,11,3502,296,-43,-774,-719,-78
2,21.11676999629708,9,3683,807,58,-702,-690,-20
3,30.203672002244275,9,4200,1713,161,-428,-649,19
4,39.40657199564157,9,4661,2245,289,-84,-608,147
5,48.58147200138774,9,5199,2818,566,359,-531,269
6,57.85137099883286,9,6371,4021,1385,583,-411,557
7,67.14126999577275,9,8566,5689,1879,778,-332,1038
8,76.49016899813432,9,9794,7144,2222,895,-375,1577
9,85.58507000270765,9,11857,8161,1782,1113,-361,1989
10,94.83096999611007,9,14693,9203,472,1605,-162,2069
11,104.17886800132692,9,16395,10123,-1818,2627,143,2326
12,113.4797670019907,9,17723,11426,-3605,3081,991,3200
13,122.83666499570245,9,17011,12377,-5718,3720,1733,3800
14,132.68055799562717,9,16187,12994,-7670,4366,2222,4198
15,141.57946199702565,8,15470,13179,-8796,5385,3215,4842
16,150.5113649982377,8,13619,12607,-8427,6750,4251,5311
17,159.39526799775194,8,11135,11907,-7377,7713,5318,6148
18,168.30817099980777,8,7354,11458,-5002,8579,5734,7369
19,177.17707499832613,8,2615,10673,-2180,9320,6108,8148
20,186.10497799818404,8,-4068,8801,547,9774,6256,8478
21,195.04088100075023,8,-9558,4137,3263,10178,5688,7943
22,203.97278400196228,8,-13963,1961,3976,9797,4691,6188
23,212.91168699826812,8,-18149,2414,1694,8506,2956,5289
24,221.82158999930834,8,-25830,4573,-2199,8949,2472,4129
25,230.60349500156008,8,-32762,9820,-3106,10257,5024,3556
26,239.23540100076934,8,-32764,14723,1035,12894,8389,4349
27,248.019304999616,8,-32764,16950,17275,16749,10680,5344
28,256.9212090020301,8,-32764,15984,32764,19059,12126,5718
29,265.7191129983403,8,-32504,6910,32764,17074,11393,7768
30,274.62801599904196,8,-23596,-4675,32764,10539,7918,7208
31,283.4939199965447,8,-8134,-15791,29090,-1473,1073,1772
32,292.4418229958974,8,-10939,-20714,10632,-11377,-8346,-4482
33,301.2417270001606,8,-15480,-11761,-806,-15541,-15615,-7993
34,310.09463100053836,8,-17970,9770,-11088,-21513,-12266,-6342
35,318.9505350019317,8,-12167,22265,-13181,-21040,-3838,-2661
36,327.79143899824703,8,-2347,22313,-14288,-11396,54,-811
37,336.596342996927,8,-1459,15865,-10682,1369,769,-282
38,345.5062459979672,8,-2123,8400,-4001,6096,2802,-286
39,354.3601499986835,8,-2790,3536,3287,6777,3159,-861
40,363.31605300074443,8,-3627,70,6689,4054,2689,-2039
41,372.1529569957056,8,-4833,-2514,9278,-57,365,-3093
42,381.15385900164256,9,-5912,-528,8959,-4198,-734,-3222
43,390.0707619977766,8,-6660,2195,7250,-6302,-612,-2750
44,399.03966499696253,8,-6957,3138,5773,-6472,-612,-2263
45,407.916568001383,8,-7377,436,5102,-6028,-712,-2325
