,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3724,-1542,261,-656,-336,376
1,10.792883003887255,10,3756,-1395,325,-714,-361,345
2,19.89678400423145,9,3938,-1186,440,-792,-371,349
3,29.512680004700087,9,4158,-910,547,-840,-371,375
4,38.53258099843515,9,4416,-719,709,-855,-320,428
5,47.968479004339315,9,4669,-614,934,-801,-250,514
6,57.1033800006262,9,4931,-570,1104,-675,-225,566
7,66.2862800018047,9,5284,-533,1241,-497,-252,599
8,75.49917999858735,9,6018,-386,1296,-326,-315,669
9,84.65308000450023,9,6621,240,1167,-150,-499,797
10,93.91398000298068,9,7333,671,697,-64,-586,1027
11,103.14387900143629,9,8108,1466,271,203,-601,1230
12,112.36277900025016,9,8988,1863,-61,611,-265,1491
13,121.53868000314105,9,10075,2414,-578,1403,143,1813
14,130.71258000127273,9,10858,2905,-1224,1879,486,2467
15,140.03647900244687,9,11869,3503,-1472,2747,644,2680
16,149.20837899990147,9,12295,3691,-2130,3318,768,2944
17,158.32528000464663,9,12293,3699,-2711,4284,1014,3039
18,168.19017300440464,9,12147,3783,-3224,4730,1336,2938
19,177.05807599850232,8,12016,3803,-3627,5074,1713,2915
20,185.97097900055815,8,11821,4244,-4325,5266,1869,3071
21,194.83088300330564,8,11470,4853,-4830,5424,2053,3353
22,203.74278600502294,8,9864,4865,-4845,5808,2365,3775
23,212.60169000015594,8,8330,5244,-3997,6350,2880,4514
24,221.1685970032704,8,6525,5151,-2795,6883,3195,5076
25,230.07850000431063,8,3732,4747,-1142,7235,3328,5422
26,238.89040400536032,8,1299,3568,433,7254,3291,5628
27,247.71130899898708,8,-1551,2210,1412,7132,2833,5574
28,256.7092110039084,8,-3893,752,2011,6995,2409,4665
29,265.49511500343215,8,-6625,528,1746,6750,1973,3749
30,274.4370180007536,8,-9323,1295,1272,6530,1564,3263
31,283.20392300520325,8,-12510,3258,495,6466,1574,3115
32,291.9848279998405,8,-15517,5267,-416,6362,2697,3819
33,300.8457309988444,8,-18195,6201,1152,6304,4097,4811
34,309.6586350002326,8,-20829,6158,4279,6439,4858,5522
35,318.42254000366665,8,-22858,5125,8360,6675,4622,5785
36,327.32944300369127,8,-21194,1740,15991,7184,4901,5773
37,336.0893479984952,8,-19692,-218,20992,7830,4847,5598
38,344.9382520047948,8,-19448,-2927,22744,6942,3472,5333
39,353.8301560038235,8,-17677,-7893,22348,4776,1155,4425
40,362.6580600030138,8,-13620,-11412,17911,675,-612,2007
41,371.5319629991427,8,-10295,-12772,7861,-4088,-3256,-1093
42,380.1908690002165,8,-11452,-9309,1955,-7354,-5666,-4136
43,388.99677299923496,8,-12460,-2078,-1072,-9892,-5139,-5656
