,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3449,-1175,996,16,106,-272
1,10.177924000345229,10,3412,-1114,963,-16,61,-256
2,19.46685500024614,9,3355,-1066,952,-11,15,-248
3,28.582786000242777,9,3081,-1044,941,-10,-254,-241
4,37.98971600008372,9,3299,-1010,931,19,-6,-221
5,47.174647000247205,9,3339,-952,981,33,-22,-179
6,56.35757800018837,9,3396,-888,992,48,-47,-140
7,65.55350999997245,9,3391,-902,768,57,-78,-87
8,74.77944099991873,9,3424,-943,1041,34,-102,-42
9,83.91237200021351,9,3430,-954,1011,2,-153,-29
10,94.40129399990838,10,3428,-1003,963,-14,-197,-22
11,103.42122600013681,9,3449,-1020,938,-23,-211,-6
12,112.93315500006429,9,3501,-999,910,-41,-215,13
13,121.71408900030656,8,3530,-1017,904,-59,-218,28
14,130.74902100015606,9,3617,-1038,888,-84,-220,61
15,139.68495500012068,8,3661,-1068,828,-117,-227,85
16,148.46788900013053,8,3722,-1109,803,-143,-220,98
17,157.24482299992815,8,3761,-1154,764,-177,-190,117
18,166.14275600022665,8,3786,-1180,737,-198,-168,120
19,174.90069099994798,8,4080,-1212,734,-216,-146,125
20,183.76462500009438,8,3855,-1228,730,-208,-137,136
21,192.61455800005933,8,3896,-1235,741,-193,-121,143
22,201.4154920002511,8,3954,-1255,729,-175,-115,164
23,210.18442700005835,8,3994,-1319,691,-142,-104,184
24,219.09236000010424,8,4007,-1383,650,-112,-95,188
25,227.89629399994737,8,3971,-1475,610,-79,-66,175
26,236.67522799996732,8,3950,-1591,627,-59,-24,142
27,245.4921620001187,8,3967,-1617,653,-51,5,112
28,254.26709700013816,8,3969,-1626,695,-47,34,79
29,263.00503099992056,8,3960,-1622,746,-28,51,70
30,271.9199650000519,8,3925,-1604,792,-14,67,53
31,280.65389900029913,8,3859,-1559,857,-15,83,53
32,289.36083400003554,8,3816,-1493,883,-19,91,78
33,298.0607690001307,8,3730,-1481,907,-42,88,148
34,306.8287030000647,8,3330,-1511,894,-69,82,212
35,315.5916380001145,8,3316,-1560,864,-145,78,273
36,324.73356900027284,9,3061,-1655,792,-209,61,316
37,333.4965040003226,8,2866,-1710,710,-297,28,392
38,342.2774380001101,8,2704,-1750,580,-416,-1,501
39,350.9563729999172,8,2552,-1755,437,-611,-64,646
40,359.6653080003307,8,2438,-1714,298,-754,-133,856
41,368.50624199996673,8,2276,-1606,305,-900,-137,1102
42,377.2311760003504,8,2155,-1487,407,-933,-161,1406
43,386.10010999991573,8,2458,-1110,740,-523,-262,1656
44,394.8730440001782,8,3004,-673,1201,-399,-426,1994
45,403.6539779999657,8,3591,-40,1856,44,-819,2427
46,412.4999119999302,8,4816,949,2565,377,-1155,2888
47,421.3488460000008,8,4969,1706,3302,968,-1489,3425
48,430.11378000028344,8,6173,2761,3802,1091,-1685,3609
49,439.0877129999353,8,7818,3862,4252,1530,-2047,3963
50,447.8606470001978,8,9440,5235,4522,2049,-1801,4571
51,456.68758100009654,8,11144,6012,4549,2648,-1654,4784
52,465.5425149999246,8,13762,6392,4326,3509,-1453,5263
53,474.3024490003336,8,15371,6062,3911,4072,-1277,5881
54,483.13638300032835,8,16760,4930,1857,4652,-1178,6262
55,491.9793170001867,8,16512,3352,-313,5372,-1147,6485
56,500.7922510003482,8,15417,2096,-2605,6527,-1118,6567
57,509.7411840001769,8,13444,1158,-3686,7775,-1091,6348
58,518.5941180002374,8,11271,333,-3130,8974,-572,6017
59,527.4720510001316,8,9018,-1008,-677,9492,-174,5509
60,536.2659860002168,8,5971,-1398,590,9041,135,5107
61,544.893921000039,8,3783,-1317,1128,8696,396,4566
62,553.6948550002307,8,798,-2130,1755,7729,646,3616
63,562.5387889999729,8,-1787,-208,953,7178,646,2461
64,571.4217220001956,8,-4168,2744,250,6947,676,2227
65,580.1676569999472,8,-7572,4606,-34,7000,875,2062
66,589.0175910003563,8,-9798,5716,622,7548,1177,1865
67,597.790525000164,8,-12081,6648,384,8071,1624,2203
68,606.524459999946,8,-14264,7341,893,8297,2476,2063
69,615.324394000254,8,-16237,8024,2588,8750,3193,1875
70,624.1373279999607,8,-16543,9555,5779,9504,3544,2140
71,632.8912620001574,8,-14488,11605,12194,9941,3709,3063
72,641.6161970000758,8,-12982,9602,21199,8782,3867,4096
73,650.4451310001969,8,-10622,4007,25308,5093,3501,5124
74,659.1300660002162,8,-9583,-2497,17991,584,1739,5169
75,667.9619999999886,8,-9377,-5717,8660,-2616,-105,3593
76,676.6799340002763,8,-8373,-5098,1725,-3301,-632,1691
77,685.5158680000386,8,-6871,-2916,-2126,-2501,-439,390
78,694.3108020000182,8,-4857,-1054,-3236,-1298,51,-462
79,703.0727370001841,8,-3496,-206,-2150,-236,95,-309
80,711.966670000038,8,-3068,-6,107,384,5,-596
81,720.8106040002349,8,-2399,873,3317,214,502,-1119
82,729.6715380002752,8,-1761,2571,6510,-569,548,-1347
83,738.518471000134,8,-1272,4161,7215,-1515,425,-1205
84,747.3094060001131,8,-1531,4562,6691,-2331,143,-890
85,756.2403390002146,8,-2226,3244,5591,-2894,-85,-869
86,765.0532729999213,8,-3104,1739,4677,-3145,-170,-1121
87,773.8402069999211,8,-3777,486,4016,-3395,-343,-1241
88,782.7601399999367,8,-4436,350,3356,-3661,-519,-1397
89,791.5680740002244,8,-5464,468,3526,-3835,-621,-1802
90,800.4710079999313,8,-6268,480,4437,-4084,-353,-2341
91,809.9629369999093,9,-6721,273,6104,-4995,212,-3005
92,819.2528670001593,9,-6982,407,7098,-6116,76,-3383
93,828.540797000187,9,-7450,711,7489,-7561,158,-3602
94,837.7827280000929,9,-8309,810,7488,-8620,337,-3340
95,846.9826590003322,9,-8594,1020,6766,-9539,586,-3440
96,856.1875909999799,9,-8543,1002,5861,-10303,703,-3376
97,865.3855219999969,9,-8113,409,4632,-11024,957,-3386
98,874.5324530000289,9,-8191,165,3572,-11397,1221,-3670
99,883.7993840002127,9,-6859,579,1810,-11167,1465,-3957
100,893.0133150001893,9,-5558,1497,269,-10281,1781,-4133
101,902.3352450003586,9,-4100,1750,-371,-9877,2500,-4220
102,911.9991729999128,9,-3380,1300,-980,-9471,3010,-4147
103,920.8881060003478,8,-1160,1071,-1053,-8794,3260,-4184
104,929.7740400002112,8,738,-149,-1092,-8474,3333,-4272
105,938.5689740001908,8,3160,-444,-1349,-8153,3345,-4315
106,947.5259069999993,8,5315,-301,-1777,-7798,3305,-4357
107,956.3418410002669,8,7255,1,-1860,-7362,3102,-4376
108,965.1437750003424,8,7811,61,-2363,-6415,2675,-4294
109,973.8697100001446,8,8966,155,-2415,-5195,2065,-3855
110,982.7216430003318,8,9583,-694,-1871,-3891,1920,-3413
111,991.5195769999627,8,10334,-1438,-1456,-2077,1585,-2875
112,1000.3465110003162,8,10400,-2681,121,-1530,1639,-2325
113,1009.1794449999725,8,9335,-3813,1400,-1155,1669,-1942
114,1017.9303800000525,8,8422,-4312,2025,-1062,1109,-2019
