,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3598,-2010,452,168,95,-463
1,10.31613200029824,10,3563,-1895,466,117,84,-478
2,19.590249999964726,9,3589,-1785,429,74,73,-472
3,28.82836800017685,9,3655,-1644,333,50,50,-456
4,38.271489000180736,9,3686,-1471,234,81,62,-401
5,47.48260700034734,9,3666,-1361,172,144,99,-338
6,56.61972300003981,9,3611,-1252,202,220,130,-259
7,65.83984100007001,9,3572,-1165,270,337,157,-187
8,75.04095800004507,9,3459,-1077,390,402,179,-115
9,84.287076000237,9,3316,-981,550,435,186,-25
10,93.49519400029749,9,3053,-846,697,440,177,44
11,102.5043090003237,9,2746,-594,821,387,139,168
12,112.35443500027031,9,2276,-63,1032,332,57,318
13,121.24054800005979,8,1865,146,1199,221,-20,536
14,130.17266200040467,8,1490,592,1366,-209,-135,770
15,139.1167760002645,8,992,1036,1387,-272,-279,1076
16,148.03189000031125,8,646,1450,1269,-540,-482,1706
17,156.93200400028218,8,348,1727,1113,-771,-620,1958
18,165.8971179999753,8,-251,1758,907,-928,-744,2332
19,175.89524599998185,9,-550,1626,976,-993,-802,2734
20,184.53435600031298,8,-1239,1478,1164,-1125,-864,3024
21,193.40746900024897,8,-1529,1209,1405,-1355,-934,3248
22,202.12958100000833,8,-1759,986,1613,-1589,-1105,3423
23,211.15769600010026,9,-1811,857,2031,-1772,-1319,3592
24,220.0888100001066,8,-1776,768,1851,-1862,-1578,3729
25,228.88892200035116,8,-1597,644,1849,-1799,-1839,3862
26,237.67103399995904,8,-1450,434,1822,-1587,-2116,4029
27,246.52214700017794,8,-1500,-205,1830,-1198,-2487,4148
28,255.28225900006873,8,-1430,-1027,2200,-390,-2711,4197
29,264.16637300008006,8,-1276,-2123,2699,137,-2873,4238
30,273.02248600017265,8,-1138,-3618,3337,436,-3306,4252
31,281.80659800000285,8,-872,-5075,4349,663,-3330,4257
32,290.7417119999991,8,-685,-6507,4877,576,-3623,4332
33,299.53782400025375,8,-636,-7655,5216,176,-3985,4338
34,308.53993900018395,9,-200,-8827,5186,-593,-4255,4303
35,317.41205200023614,8,-703,-8604,4732,-587,-4490,4164
36,326.2581650001266,8,688,-9781,2704,-1977,-5140,4293
37,335.252280000077,8,1278,-10221,738,-1546,-5517,4114
38,344.1193930002555,8,1176,-11338,-1220,-1425,-5806,3810
39,353.04450700004963,8,1394,-12092,-3499,-691,-5995,3145
40,361.93262100005086,8,1554,-13046,-4988,371,-5808,2717
41,370.8577350002997,8,1895,-14416,-6127,871,-5143,2109
42,379.8088490002556,8,2958,-15273,-6915,1282,-4710,1521
43,388.728963000176,8,3824,-15448,-8090,1442,-4183,807
44,397.5970760002383,8,5056,-15401,-9312,1494,-3698,200
45,406.5031899999667,8,5997,-14690,-10622,1390,-2905,-396
46,415.33530200013047,8,6701,-13346,-12647,1120,-2257,-1275
47,424.28741699995953,8,7430,-11627,-14404,782,-1347,-1632
48,433.1195290001233,8,7900,-9672,-16343,693,-361,-1993
49,442.0026430002508,8,7039,-8085,-18337,1122,524,-2351
50,450.907756000106,8,5955,-6724,-19970,1634,1662,-2832
51,459.7678690001885,8,5050,-5331,-20460,1939,2688,-3270
52,468.6529830000836,8,4767,-3582,-19783,1751,3867,-3269
53,477.550095999959,8,4613,-1893,-18773,833,5264,-2758
54,486.3332080003602,8,3634,-1426,-17918,-288,6305,-2008
55,495.35132300025,9,1873,-1149,-18702,-1250,6841,-1172
56,504.1584350001358,8,-2197,-1517,-21642,-1448,6984,-891
57,513.0785480000668,8,-5008,-912,-24644,-743,7582,-950
58,521.8926610000381,8,-6850,-140,-27249,5,8379,-722
59,530.7277730003079,8,-9569,-485,-29862,549,9360,449
60,539.5348850001938,8,-14287,331,-31542,501,10100,1100
61,548.2819960002416,8,-17030,403,-29201,972,11730,932
62,557.1731090003595,8,-20247,2094,-23855,957,13030,1017
63,565.9732210001494,8,-22564,3541,-20702,121,13126,1424
64,574.7573329999796,8,-27309,6014,-19013,-621,12709,1428
65,583.6044460002086,8,-30822,8676,-16092,-957,12486,1909
66,592.4185580001904,8,-30154,8478,-10741,39,12889,4100
67,601.1766690003242,8,-31732,6484,-5609,1422,12861,5919
68,610.1407830001335,8,-32764,3243,4149,3675,12016,5560
69,618.9728960002867,8,-31996,-478,12176,4877,10549,4382
70,627.9100090000611,8,-29018,-5203,16127,3849,7111,3227
71,636.7451220003204,8,-26611,-5525,17954,2407,4271,1221
72,645.3612310001517,8,-24693,-6288,17899,687,2062,-889
73,654.215344000022,8,-22869,-5777,15567,-886,633,-1892
74,663.095457000054,8,-20080,-4459,12746,-1051,-416,-2525
75,671.9155690002481,8,-17582,-3283,10451,-1018,-1435,-2810
76,680.8796830000574,8,-15505,-2418,8306,-975,-1916,-2800
77,689.7237960001803,8,-13493,-2315,7192,-1385,-2761,-2509
78,701.5009460001238,11,-11204,-2944,4232,-1054,-2887,-2085
79,710.4740600002515,8,-9974,-3773,2592,-877,-3360,-2132
80,719.4451740001568,8,-8631,-4123,1642,-629,-3782,-2091
81,728.3312870004011,8,-7722,-4368,1010,-886,-4231,-2162
82,737.2394000003624,8,-6652,-4812,-1713,-869,-4393,-2527
83,746.0575120003341,8,-5586,-4639,-3681,-723,-4625,-2303
84,754.8976250000123,8,-4143,-4553,-4970,-80,-4702,-2241
85,763.8317390001248,8,-2989,-4880,-5677,283,-4563,-2031
86,772.6578510000763,8,-2122,-4912,-6620,690,-4482,-1834
87,781.6369649999615,8,-911,-5107,-6639,1150,-4553,-1794
88,790.518078000332,8,122,-5201,-6412,1475,-4683,-1907
89,799.5081920003031,8,556,-5669,-6836,1616,-5103,-2073
90,808.3073040002091,8,442,-5672,-7412,1665,-5193,-2732
91,817.1924170001148,8,20,-5135,-7334,1706,-5332,-3085
92,826.1345310002071,8,492,-4042,-7757,1656,-5222,-3401
93,835.0226440002189,8,869,-3028,-8742,1666,-4666,-3475
94,843.8427559999582,8,788,-1918,-8423,1839,-4299,-3476
95,852.5988680003138,8,2923,-2235,-8688,2327,-3704,-3146
96,861.4579810000578,8,3276,-1698,-7971,2973,-3267,-3042
97,870.8561000003101,9,3487,-1564,-6543,3307,-2813,-3152
98,879.6652119999635,8,3643,-1233,-4886,3253,-2549,-3238
99,888.4383240001625,8,3672,-861,-3842,2813,-2408,-3232
100,897.3254370002905,8,3567,-415,-2991,2013,-2067,-3181
101,906.0545480001565,8,3460,19,-2351,1374,-2217,-3073
102,914.826660000017,8,3348,383,-1920,791,-2073,-2927
103,923.7867740002912,8,3208,595,-1647,65,-1951,-2733
104,932.5628850001522,8,3208,523,-1436,-4,-1832,-2545
105,941.5379990000474,8,3536,814,-1386,-277,-1708,-2444
106,950.3371109999534,8,3812,653,-1486,-355,-1585,-2278
107,959.3292260001363,8,4146,496,-1144,-243,-1461,-2008
108,968.1803380003657,8,4355,627,-693,-509,-1028,-1830
109,977.1334520000892,8,4475,608,-185,-413,-1158,-1675
110,985.9785650000958,8,4504,861,289,-697,-1120,-1310
111,994.8416780002844,8,5027,1059,475,-1249,-1070,-1350
112,1003.7337910002861,8,5194,1164,360,-1154,-974,-1138
113,1012.5219020001168,8,5588,1087,279,-973,-557,-1017
114,1021.3210140000228,8,5971,986,320,-603,-562,-982
115,1030.2221280003323,8,6452,838,949,-203,-322,-880
116,1039.0552400003799,8,7437,520,1315,-236,87,-1198
117,1047.9493530001491,8,7906,599,1767,-510,188,-777
118,1056.8594670003222,8,8131,1282,2048,-628,434,-550
119,1065.6485780000367,8,8198,1359,2056,-1040,816,-433
120,1074.5886920003613,8,7932,1314,1646,-1273,1192,-208
121,1083.3978040000147,8,7198,1008,1290,-984,1476,9
122,1092.3309180002434,8,6477,225,1105,-282,1547,145
123,1101.1700300000484,8,5626,-558,1495,922,1419,143
124,1110.0991440002872,8,4683,-1256,1635,1789,1201,32
125,1118.9052560002892,8,4488,-1823,1977,2139,983,-78
126,1127.9683710004065,9,4241,-2518,2212,2107,754,-200
127,1136.7964830001256,8,4046,-2878,2142,1422,626,-286
128,1145.6485960002283,8,3757,-3352,1731,813,501,-348
129,1154.3257070002255,8,3255,-3540,1070,378,423,-440
130,1163.144819000081,8,2917,-3611,443,13,428,-490
131,1171.8479290002506,8,2585,-3484,-231,-157,463,-568
132,1180.620041000111,8,2383,-3153,-505,-145,435,-703
133,1189.4941540003856,8,2389,-2774,-224,-51,384,-827
134,1198.2722660000036,8,2650,-2085,-143,50,313,-890
135,1207.1423780002988,8,2875,-1847,208,138,182,-890
136,1215.9394899999825,8,3035,-1589,139,192,89,-856
137,1224.769603000368,8,3112,-1383,357,181,18,-775
138,1233.6077150002893,8,3092,-1524,459,92,-30,-697
139,1242.415827000059,8,2991,-1185,581,-32,-71,-619
140,1251.1859390001518,8,2907,-1035,640,-176,-91,-561
141,1260.1910530001987,9,2920,-1019,652,-301,-127,-477
142,1268.975165000029,8,2973,-915,647,-380,-164,-426
143,1277.9022790000454,8,3071,-816,602,-418,-206,-382
144,1286.7163910000272,8,3247,-727,594,-401,-260,-332
145,1295.5275030003577,8,3374,-692,585,-370,-290,-255
146,1304.4836170001872,8,3512,-668,607,-338,-312,-176
147,1313.342730000386,8,3605,-703,541,-281,-322,-115
148,1322.2688430000744,8,3676,-801,512,-184,-323,-71
149,1331.2009569999645,8,3689,-863,546,-86,-316,-5
150,1340.1430700000674,8,3743,-960,587,-13,-278,29
151,1348.9581830003772,8,3717,-1258,614,-4,-240,59
152,1357.987298000353,9,3719,-1176,649,-42,-213,76
153,1366.819410000062,8,3781,-1224,597,-93,-191,83
154,1375.6795230001444,8,3895,-1333,553,-136,-177,112
155,1384.5066349999797,8,3912,-1367,569,-160,-153,136
156,1393.3527470003355,8,3903,-1402,502,-180,-133,151
157,1402.3268620003364,8,3938,-1424,396,-185,-137,170
158,1411.0879730001216,8,3957,-1436,369,-165,-140,202
159,1419.8250839999673,8,3843,-1768,345,-124,-130,203
160,1428.772198000388,8,3759,-1545,380,-80,-116,173
161,1437.6223110002684,8,3786,-1498,322,-80,-115,171
162,1446.574425000108,8,3820,-1565,318,-52,-122,197
163,1455.4075370001556,8,3751,-1692,378,-54,-105,199
164,1464.3616510002175,8,3690,-1755,382,-99,-72,189
165,1473.2037630001287,8,3682,-1707,315,-143,-91,168
166,1482.1428770001148,8,3730,-1661,238,-190,-113,176
167,1491.075990000354,8,3721,-1608,180,-191,-102,169
168,1499.9771030002194,8,3701,-1595,141,-175,-82,154
