,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3458,-1406,457,354,-43,-511
1,10.543131999838806,10,3474,-1348,473,284,-47,-456
2,19.59224499978518,9,3479,-1350,403,250,-58,-407
3,29.533369000091625,9,3419,-1399,343,266,-65,-359
4,38.72548299978007,9,3355,-1481,354,318,-68,-339
5,48.33360300017375,9,3325,-1536,347,335,-73,-318
6,57.56671800008917,9,3330,-1545,358,371,-80,-305
7,66.8108330000905,9,3326,-1578,408,381,-89,-290
8,76.28195100005541,9,3341,-1593,467,346,-95,-282
9,86.50607900017349,10,3340,-1560,503,262,-99,-270
10,95.92219600017415,9,3377,-1485,267,189,-113,-250
11,105.04030999982206,9,3400,-1448,464,119,-119,-223
12,114.6294290001606,9,3443,-1380,408,96,-127,-197
13,123.77554300019256,9,3472,-1352,373,115,-124,-142
14,133.58366600004956,9,3435,-1312,369,164,-114,-104
15,142.56777799982956,8,3362,-1254,421,165,-111,-36
16,151.44088799979727,8,3301,-1237,482,152,-105,12
17,160.28899799994178,8,3252,-1161,504,107,-98,55
18,169.24910999978238,8,3202,-1128,504,54,-101,100
19,178.09922000014922,8,3106,-1187,502,29,-97,137
20,187.084331999813,8,3327,-1174,524,6,-79,174
21,195.95844300010867,8,3043,-1164,543,-15,-50,220
22,204.8765539998385,8,3054,-1189,572,-2,-28,260
23,213.7976650001292,8,3090,-1264,620,40,-18,317
24,222.69577599990953,8,3124,-1363,676,126,-7,363
25,231.54988699980095,8,3114,-1420,767,220,-9,391
26,240.30899599983968,8,3112,-1462,906,315,-34,420
27,249.23610699988785,8,3063,-1470,1086,360,-68,464
28,258.0192169998554,8,3026,-1470,1231,362,-112,507
29,266.89932699991914,8,2897,-1427,1366,271,-159,545
30,275.70743700016465,8,2715,-1267,1496,144,-232,629
31,284.52154700016763,8,2517,-1079,1557,-32,-286,781
32,293.39965799999845,8,2206,-809,1564,-207,-340,936
33,302.25776799989035,8,1520,-426,1543,-419,-418,1105
34,311.1768789999587,8,1035,111,1557,-530,-522,1284
35,320.06498999999167,8,828,572,1859,-633,-608,1632
36,328.9331010000751,8,689,1073,2345,-1003,-659,1997
37,337.73921000010887,8,178,1211,2955,-1021,-707,2393
38,346.6153210001721,8,-184,1369,3808,-1351,-817,2713
39,355.4464310000185,8,-396,1299,4329,-1743,-980,3291
40,364.2525410000417,8,-733,1090,4332,-2297,-1253,3370
41,373.12265099990327,8,-766,745,4609,-1985,-1560,3499
42,382.02576200001204,8,-556,26,4925,-1591,-1874,3602
43,390.91187299982266,8,-414,-352,5430,-999,-2124,3723
44,399.8949850001736,8,-169,-840,6215,-121,-2387,3835
45,408.6170939999647,8,115,-1731,7000,90,-2685,3998
46,417.5122050000937,8,179,-2541,7650,48,-3075,4180
47,426.2673140001425,8,333,-3124,7635,-343,-3700,4403
48,435.07642399981705,8,978,-3718,6437,-1264,-4302,4677
49,444.03053499991074,8,1676,-3989,4599,-1651,-5090,4828
50,452.90064599976176,8,2211,-4810,2390,-2094,-5197,4898
51,461.9087579999359,9,2705,-5785,229,-2122,-5271,4863
52,470.7138680000753,8,3167,-7064,-1315,-2106,-5081,4641
53,479.65897899985066,8,3245,-9488,-3007,-2048,-4615,4274
54,488.5270899999341,8,3233,-12308,-4992,-1782,-4764,3419
55,497.41020100009337,8,3517,-14519,-8016,-1578,-4580,2535
56,506.3593119998586,8,5247,-15110,-10796,-1633,-4098,1550
57,515.3174239999316,8,6632,-13713,-14945,-1955,-3509,670
58,524.173534000056,8,8047,-11349,-20131,-1370,-2482,-437
59,533.1276460001391,8,9690,-8363,-21885,-193,-1170,-1054
60,541.9657560000815,8,11397,-5255,-21648,834,369,-1263
61,550.8098659997813,8,11926,-2303,-20674,1142,2129,-1009
62,559.7019769998042,8,11715,-1171,-19747,632,3383,-310
63,568.3560849997775,8,9805,-531,-21767,2,3727,-638
64,577.3781970001437,9,7480,528,-24219,39,4050,-998
65,586.2303079998128,8,5806,1868,-25041,740,5045,-921
66,594.9934169998414,8,3733,2965,-26126,1040,5654,-295
67,603.897527999834,8,1255,3825,-28176,866,6258,-223
68,612.7496379999684,8,-2738,4404,-30880,124,7268,181
69,621.5337479998198,8,-6095,4901,-32764,-613,8398,575
70,630.326857,8,-8719,6355,-32764,-1221,9817,948
71,639.1699669998161,8,-10928,7531,-32764,-1488,10973,1772
72,648.0890779998845,8,-14124,8716,-31955,-1213,12156,2857
73,656.9791880001503,8,-19535,9063,-28241,-483,12402,4214
74,666.1073020000003,9,-24604,8497,-24112,935,12183,5270
75,674.973411999872,8,-30839,7510,-18103,2090,11948,5391
76,684.2235270000856,9,-32764,6844,-12791,2767,12323,5926
77,693.2446390001132,9,-32764,4226,-7261,2924,12649,6474
78,702.1237489998384,8,-32764,2196,-22,3178,12041,6140
79,710.9618589997808,8,-32764,36,6155,3508,10737,4997
80,719.983971000147,9,-29528,-3396,10690,2897,7910,4039
81,728.8890820000233,8,-26608,-4735,12112,2227,5263,2545
82,737.8051919999962,8,-24278,-4733,12005,1853,3518,1372
83,746.6733030000796,8,-21731,-4987,11643,1417,2374,640
84,755.5804130001889,8,-19784,-5498,11299,993,1333,30
85,764.5175239999844,8,-18028,-5564,10221,611,718,-533
86,773.4426349998103,8,-16445,-5096,9329,-142,56,-1026
87,782.3267449998639,8,-14925,-4864,8597,-658,-507,-1185
88,791.2548559997958,8,-13598,-4816,7630,-838,-1280,-1256
89,800.1389669998389,8,-12119,-4811,6107,-874,-1655,-1376
90,809.1260780001903,8,-10243,-4681,4709,-741,-2184,-1455
91,818.0651890002082,8,-9122,-4653,2965,-484,-2993,-1392
92,826.9962999997915,8,-8043,-4686,1175,-93,-3333,-1269
93,835.8664100001079,8,-7043,-4692,-660,445,-3575,-1107
94,844.8045209997872,8,-5911,-5061,-2028,1233,-3641,-913
95,853.7186319999819,8,-5364,-5703,-2970,1657,-3705,-759
96,862.6597429997673,8,-4816,-6766,-3220,2049,-3638,-721
97,871.4878529999623,8,-4474,-7745,-3020,2086,-3558,-873
98,880.3529629999503,8,-4062,-8269,-2763,1575,-3611,-1113
99,889.1920729997764,8,-3439,-8364,-2962,1441,-3891,-1390
100,898.07618299983,8,-3038,-8246,-4043,1400,-4576,-1978
101,906.941292999818,8,-2665,-7265,-5508,1725,-5128,-2205
102,915.7984029998261,8,-1855,-5812,-6452,2535,-5410,-2502
103,924.7055139999247,8,-589,-4418,-6899,2831,-4931,-2565
104,933.5036229999787,8,139,-3846,-7414,3059,-4839,-2480
105,942.1267299999272,8,719,-3219,-7118,3219,-4518,-2433
106,950.9238400000868,8,1300,-2917,-6294,2823,-4139,-2405
107,959.7979499999383,8,1569,-2534,-5590,2713,-3829,-2450
108,968.7210609999966,8,1646,-1683,-4550,2068,-3635,-2477
109,977.6161710001361,8,1739,-1129,-3967,1436,-3520,-2459
110,986.4392810000027,8,1833,-448,-3832,949,-3596,-2479
111,995.3963920002025,8,2108,126,-3823,657,-3604,-2542
112,1004.1945009998017,8,2667,727,-4096,389,-3462,-2514
113,1013.0886120000469,8,2918,857,-4396,239,-3187,-2484
114,1021.9737219999843,8,3405,1073,-3988,157,-2740,-2432
115,1031.519840999863,9,4173,1515,-3058,-87,-1903,-2368
116,1040.3939510001692,8,4744,1089,-1662,-427,-1503,-2303
117,1049.2930619998333,8,5579,1114,-269,-1002,-1189,-2151
118,1058.128171000135,8,5980,871,721,-1287,-1001,-2017
119,1067.101282999829,8,6703,893,1326,-1368,-977,-1889
120,1075.962392999827,8,7179,665,1632,-972,-1179,-1841
121,1084.9235040000167,8,7738,734,2423,131,-1346,-1893
122,1093.7736139999288,8,8348,769,3399,1034,-1559,-1838
123,1102.686724999785,8,8785,1259,4300,1537,-1801,-1685
124,1111.5668349998487,8,8789,1219,4869,1459,-2020,-1485
125,1120.418944999983,8,8349,1291,4994,550,-2063,-1268
126,1129.3010549998144,8,7714,1307,4363,-371,-1932,-1112
127,1138.201165999817,8,7206,1155,3019,-1077,-1684,-1004
128,1147.099277000052,8,6762,1050,1734,-1328,-1495,-890
129,1156.0203869998986,8,6350,825,651,-1136,-1222,-783
130,1164.9124979999215,8,5884,626,-43,-611,-931,-588
131,1173.760608000066,8,5422,196,-745,-71,-614,-350
132,1182.7567189998263,8,4861,-355,-669,428,-387,-85
133,1191.582828999799,8,4549,-925,-587,822,-150,64
134,1200.41793900009,8,4077,-1513,-277,1125,25,166
135,1209.2200480001338,8,3798,-1553,-113,1221,177,227
136,1218.0931580001015,8,3458,-1881,455,1179,230,231
137,1227.0182689999274,8,2980,-2228,580,802,215,99
138,1235.8163789999708,8,2330,-2455,653,864,118,-63
139,1244.6614880000197,8,2146,-2595,692,603,-11,-482
140,1253.463598000053,8,1975,-2498,663,409,-195,-410
141,1262.2937070000262,8,2017,-2264,425,252,-296,-553
142,1271.1308170000848,8,2142,-1972,212,156,-337,-584
143,1279.9709269997948,8,2417,-1702,108,73,-310,-545
144,1288.7670360000811,8,2598,-1383,42,21,-250,-458
145,1297.685146999811,8,2808,-1026,640,-60,-235,-336
146,1306.495256999824,8,2343,-1397,-104,-106,-477,-186
147,1315.5003679999027,9,2965,-985,1,104,-990,-152
148,1324.4144790000973,8,3031,-1002,96,65,-773,-145
149,1333.381591000034,8,3114,-1247,43,-28,-731,-37
150,1342.300701000113,8,3150,-1116,8,-159,-770,27
151,1351.25181300009,8,3451,-1092,-87,-350,-803,49
152,1360.0949219999166,8,3653,-1067,-208,-531,-759,104
153,1369.091034000121,8,3929,-1079,-444,-705,-633,182
154,1377.9471439997906,8,4130,-1174,-675,-736,-258,268
155,1386.9622560000607,9,4217,-1271,-800,-640,-353,308
156,1395.8453659997758,8,4203,-1388,-852,-476,-249,270
157,1404.7814770001423,8,4169,-1586,-820,-23,-167,225
158,1413.7315889997808,8,4157,-1697,-636,-35,-105,176
159,1422.6647000000412,8,4183,-1762,-457,108,-55,161
160,1431.5278099998068,8,4221,-1839,-287,176,-28,200
161,1440.4439199997796,8,4195,-1960,-171,178,-2,245
162,1449.1520289998334,8,4065,-2054,-62,96,28,262
163,1457.9961379999986,8,3962,-2178,-19,-18,81,260
164,1466.985250000107,8,3813,-2304,0,-136,132,223
165,1475.8333599997968,8,3729,-2320,2,-230,163,184
166,1484.8544719998245,9,3637,-2316,-6,-283,168,133
167,1493.7335820000044,8,3567,-2297,3,-250,164,98
